Time,ID1,ID2,S1,S2
4740,15,22,MED,MED
4760,15,22,MED,MED
4780,6,10,NUR,NUR
4780,15,22,MED,MED
4800,15,22,MED,MED
4820,15,22,MED,MED
4840,15,22,MED,MED
4860,15,22,MED,MED
4860,10,23,NUR,NUR
4860,23,37,NUR,NUR
4880,15,22,MED,MED
4900,3,6,NUR,NUR
4900,15,22,MED,MED
4900,6,23,NUR,NUR
4920,15,22,MED,MED
4940,15,22,MED,MED
4960,15,22,MED,MED
4980,15,22,MED,MED
5000,15,22,MED,MED
5020,13,31,NUR,ADM
5020,15,22,MED,MED
5040,15,22,MED,MED
5060,15,22,MED,MED
5060,5,23,NUR,NUR
5080,15,22,MED,MED
5100,15,22,MED,MED
5120,13,31,NUR,ADM
5120,15,22,MED,MED
5120,5,37,NUR,NUR
5120,23,37,NUR,NUR
5140,15,22,MED,MED
5140,23,37,NUR,NUR
5160,13,31,NUR,ADM
5160,15,22,MED,MED
5180,13,31,NUR,ADM
5180,15,22,MED,MED
5200,15,22,MED,MED
5200,5,23,NUR,NUR
5220,15,22,MED,MED
5220,5,23,NUR,NUR
5240,15,22,MED,MED
5240,5,23,NUR,NUR
5260,15,22,MED,MED
5260,5,23,NUR,NUR
5280,15,22,MED,MED
5280,5,23,NUR,NUR
5300,1,6,ADM,NUR
5300,15,22,MED,MED
5300,5,23,NUR,NUR
5320,13,31,NUR,ADM
5320,15,22,MED,MED
5340,15,22,MED,MED
5360,15,22,MED,MED
5380,15,22,MED,MED
5380,23,37,NUR,NUR
5400,15,22,MED,MED
5400,23,37,NUR,NUR
5420,15,22,MED,MED
5440,3,6,NUR,NUR
5440,3,23,NUR,NUR
5440,15,22,MED,MED
5440,23,37,NUR,NUR
5460,15,22,MED,MED
5460,3,37,NUR,NUR
5460,3,8,NUR,NUR
5460,5,37,NUR,NUR
5460,23,37,NUR,NUR
5480,5,10,NUR,NUR
5480,15,22,MED,MED
5480,5,37,NUR,NUR
5480,23,37,NUR,NUR
5500,13,31,NUR,ADM
5500,3,23,NUR,NUR
5500,15,22,MED,MED
5520,10,37,NUR,NUR
5520,13,31,NUR,ADM
5520,15,22,MED,MED
5520,3,37,NUR,NUR
5540,13,31,NUR,ADM
5540,15,22,MED,MED
5560,10,37,NUR,NUR
5560,13,31,NUR,ADM
5560,8,10,NUR,NUR
5560,3,10,NUR,NUR
5560,15,22,MED,MED
5580,10,37,NUR,NUR
5580,15,22,MED,MED
5580,3,37,NUR,NUR
5600,15,22,MED,MED
5600,31,37,ADM,NUR
5600,5,17,NUR,NUR
5600,3,8,NUR,NUR
5620,15,22,MED,MED
5640,15,22,MED,MED
5640,31,37,ADM,NUR
5640,3,17,NUR,NUR
5640,3,8,NUR,NUR
5660,15,22,MED,MED
5660,31,37,ADM,NUR
5660,3,37,NUR,NUR
5680,15,22,MED,MED
5680,31,37,ADM,NUR
5700,15,22,MED,MED
5720,15,22,MED,MED
5740,15,22,MED,MED
5760,15,22,MED,MED
5780,15,22,MED,MED
5800,15,22,MED,MED
5820,15,22,MED,MED
5840,15,22,MED,MED
5860,15,22,MED,MED
5880,15,22,MED,MED
5900,15,22,MED,MED
5920,15,22,MED,MED
5940,15,22,MED,MED
5960,15,22,MED,MED
5980,15,22,MED,MED
6000,15,22,MED,MED
6020,15,22,MED,MED
6040,15,22,MED,MED
6060,15,22,MED,MED
6080,15,22,MED,MED
6100,15,22,MED,MED
6120,15,22,MED,MED
6140,15,22,MED,MED
6160,15,22,MED,MED
6180,14,18,MED,MED
6180,15,22,MED,MED
6200,15,22,MED,MED
6220,15,22,MED,MED
6240,14,23,MED,NUR
6240,15,22,MED,MED
6260,15,22,MED,MED
6280,15,22,MED,MED
6300,14,18,MED,MED
6300,15,22,MED,MED
6320,1,14,ADM,MED
6320,15,22,MED,MED
6340,15,22,MED,MED
6360,15,22,MED,MED
6380,6,11,NUR,MED
6380,15,22,MED,MED
6400,15,22,MED,MED
6400,10,23,NUR,NUR
6420,6,8,NUR,NUR
6420,15,22,MED,MED
6440,15,22,MED,MED
6460,15,22,MED,MED
6480,15,22,MED,MED
6500,15,22,MED,MED
6520,15,22,MED,MED
6540,6,14,NUR,MED
6540,15,22,MED,MED
6560,15,22,MED,MED
6580,15,22,MED,MED
6600,15,22,MED,MED
6620,15,22,MED,MED
6640,15,22,MED,MED
6660,15,22,MED,MED
6680,15,22,MED,MED
6700,15,22,MED,MED
6720,19,24,ADM,NUR
6720,15,22,MED,MED
6740,15,22,MED,MED
6760,15,22,MED,MED
6780,15,22,MED,MED
6800,15,22,MED,MED
6820,15,22,MED,MED
6840,15,22,MED,MED
6860,15,22,MED,MED
6880,15,22,MED,MED
6900,15,22,MED,MED
6920,15,22,MED,MED
6940,15,22,MED,MED
6960,15,22,MED,MED
6980,15,22,MED,MED
7000,15,22,MED,MED
7020,15,22,MED,MED
7040,15,22,MED,MED
7060,15,22,MED,MED
7080,15,22,MED,MED
7100,15,22,MED,MED
7120,15,22,MED,MED
7140,15,22,MED,MED
7160,15,22,MED,MED
7180,15,22,MED,MED
7200,15,22,MED,MED
7220,15,22,MED,MED
7240,15,22,MED,MED
7260,15,22,MED,MED
7280,15,22,MED,MED
7300,15,22,MED,MED
7320,15,22,MED,MED
7340,15,22,MED,MED
7420,15,22,MED,MED
7440,15,22,MED,MED
7460,15,22,MED,MED
7480,15,22,MED,MED
7500,15,22,MED,MED
7520,15,22,MED,MED
7540,15,22,MED,MED
7560,15,22,MED,MED
7580,15,22,MED,MED
7600,15,22,MED,MED
7620,15,22,MED,MED
7640,15,22,MED,MED
7660,15,22,MED,MED
7680,15,22,MED,MED
7700,15,22,MED,MED
7720,15,22,MED,MED
7740,15,22,MED,MED
7760,15,22,MED,MED
7780,15,22,MED,MED
7800,15,22,MED,MED
7820,15,22,MED,MED
7840,15,22,MED,MED
7860,15,22,MED,MED
7880,15,22,MED,MED
7900,15,22,MED,MED
7920,15,22,MED,MED
7940,15,22,MED,MED
7960,15,22,MED,MED
7980,1,22,ADM,MED
8000,1,22,ADM,MED
8000,15,22,MED,MED
8000,1,15,ADM,MED
8020,6,22,NUR,MED
8040,6,22,NUR,MED
8060,6,22,NUR,MED
8060,19,22,ADM,MED
8060,15,18,MED,MED
8080,1,22,ADM,MED
8080,1,24,ADM,NUR
8080,6,22,NUR,MED
8080,15,18,MED,MED
8100,14,22,MED,MED
8180,15,22,MED,MED
8200,14,22,MED,MED
8220,15,22,MED,MED
8220,14,22,MED,MED
8260,15,22,MED,MED
8300,14,15,MED,MED
8300,15,22,MED,MED
8300,14,22,MED,MED
8320,6,14,NUR,MED
8460,15,22,MED,MED
8480,14,15,MED,MED
8480,15,22,MED,MED
8500,15,22,MED,MED
8520,15,22,MED,MED
8560,15,22,MED,MED
8560,14,22,MED,MED
8760,23,24,NUR,NUR
8880,23,24,NUR,NUR
8900,23,24,NUR,NUR
8920,23,24,NUR,NUR
9060,6,19,NUR,ADM
9080,8,19,NUR,ADM
9080,6,19,NUR,ADM
9100,6,19,NUR,ADM
9140,19,45,ADM,PAT
9200,11,15,MED,MED
9200,14,15,MED,MED
9200,23,24,NUR,NUR
9220,14,22,MED,MED
9240,11,22,MED,MED
9240,11,15,MED,MED
9240,23,24,NUR,NUR
9240,14,22,MED,MED
9260,11,22,MED,MED
9260,11,15,MED,MED
9260,15,22,MED,MED
9260,14,22,MED,MED
9280,11,15,MED,MED
9280,23,24,NUR,NUR
9280,15,22,MED,MED
9280,14,22,MED,MED
9300,23,45,NUR,PAT
9300,11,15,MED,MED
9300,19,40,ADM,PAT
9300,14,22,MED,MED
9320,11,15,MED,MED
9320,19,45,ADM,PAT
9340,23,45,NUR,PAT
9340,6,8,NUR,NUR
9340,11,15,MED,MED
9340,23,24,NUR,NUR
9360,6,22,NUR,MED
9360,19,22,ADM,MED
9380,6,22,NUR,MED
9400,6,22,NUR,MED
9420,11,15,MED,MED
9420,19,23,ADM,NUR
9440,11,15,MED,MED
9460,11,15,MED,MED
9460,6,22,NUR,MED
9480,23,24,NUR,NUR
9480,19,45,ADM,PAT
9500,11,15,MED,MED
9500,23,24,NUR,NUR
9500,19,45,ADM,PAT
9520,11,15,MED,MED
9520,19,45,ADM,PAT
9540,19,45,ADM,PAT
9560,19,45,ADM,PAT
9580,11,15,MED,MED
9580,19,45,ADM,PAT
9600,19,45,ADM,PAT
9620,11,15,MED,MED
9620,14,15,MED,MED
9620,19,45,ADM,PAT
9640,11,15,MED,MED
9640,14,15,MED,MED
9640,19,45,ADM,PAT
9660,19,45,ADM,PAT
9680,19,45,ADM,PAT
9700,19,45,ADM,PAT
9720,19,45,ADM,PAT
9740,11,15,MED,MED
9740,23,24,NUR,NUR
9740,14,22,MED,MED
9740,19,45,ADM,PAT
9760,11,15,MED,MED
9760,23,24,NUR,NUR
9760,14,22,MED,MED
9760,19,45,ADM,PAT
9780,11,15,MED,MED
9780,14,22,MED,MED
9780,19,45,ADM,PAT
9800,11,15,MED,MED
9800,14,22,MED,MED
9800,19,45,ADM,PAT
9820,14,22,MED,MED
9820,19,45,ADM,PAT
9860,14,22,MED,MED
9880,14,22,MED,MED
9900,23,24,NUR,NUR
9900,14,22,MED,MED
9920,1,22,ADM,MED
9920,23,24,NUR,NUR
9920,14,22,MED,MED
9940,23,24,NUR,NUR
9940,14,22,MED,MED
9960,14,22,MED,MED
9960,19,45,ADM,PAT
9980,23,24,NUR,NUR
9980,19,45,ADM,PAT
10000,23,24,NUR,NUR
10000,14,22,MED,MED
10020,23,24,NUR,NUR
10020,14,22,MED,MED
10040,23,24,NUR,NUR
10040,14,22,MED,MED
10060,23,24,NUR,NUR
10080,23,24,NUR,NUR
10080,18,22,MED,MED
10100,23,24,NUR,NUR
10100,18,22,MED,MED
10120,23,24,NUR,NUR
10140,23,24,NUR,NUR
10140,15,22,MED,MED
10160,23,24,NUR,NUR
10180,23,24,NUR,NUR
10180,15,22,MED,MED
10200,23,24,NUR,NUR
10200,1,6,ADM,NUR
10200,15,22,MED,MED
10220,11,22,MED,MED
10220,11,15,MED,MED
10220,23,24,NUR,NUR
10240,11,22,MED,MED
10260,11,22,MED,MED
10260,11,15,MED,MED
10260,23,24,NUR,NUR
10280,11,22,MED,MED
10280,23,24,NUR,NUR
10280,15,22,MED,MED
10300,11,22,MED,MED
10320,23,24,NUR,NUR
10320,1,6,ADM,NUR
10340,11,22,MED,MED
10340,23,24,NUR,NUR
10360,11,22,MED,MED
10380,11,22,MED,MED
10400,11,22,MED,MED
10420,11,15,MED,MED
10460,11,15,MED,MED
10520,11,22,MED,MED
10540,11,22,MED,MED
10560,1,23,ADM,NUR
10560,11,22,MED,MED
10560,6,23,NUR,NUR
10580,1,23,ADM,NUR
10580,1,6,ADM,NUR
10580,6,23,NUR,NUR
10620,1,15,ADM,MED
10640,1,23,ADM,NUR
10660,23,24,NUR,NUR
10660,15,22,MED,MED
10680,15,22,MED,MED
10700,15,22,MED,MED
10720,15,22,MED,MED
10740,15,22,MED,MED
10760,15,22,MED,MED
10780,15,22,MED,MED
10800,15,22,MED,MED
10820,15,22,MED,MED
10840,15,22,MED,MED
10880,15,22,MED,MED
10900,15,22,MED,MED
10920,15,22,MED,MED
10940,23,45,NUR,PAT
10940,15,22,MED,MED
11000,15,22,MED,MED
11020,15,22,MED,MED
11040,15,22,MED,MED
11080,15,23,MED,NUR
11100,1,22,ADM,MED
11100,15,44,MED,PAT
11120,22,23,MED,NUR
11120,15,68,MED,PAT
11140,22,23,MED,NUR
11220,23,24,NUR,NUR
11320,15,44,MED,PAT
11320,18,22,MED,MED
11340,15,44,MED,PAT
11360,15,44,MED,PAT
11380,15,44,MED,PAT
11420,15,44,MED,PAT
11420,14,22,MED,MED
11440,14,22,MED,MED
11460,14,22,MED,MED
11480,14,22,MED,MED
11500,14,22,MED,MED
11520,15,44,MED,PAT
11520,14,22,MED,MED
11540,15,44,MED,PAT
11540,14,22,MED,MED
11560,14,22,MED,MED
11580,14,22,MED,MED
11600,14,22,MED,MED
11600,18,22,MED,MED
11620,14,45,MED,PAT
11640,14,45,MED,PAT
11660,15,44,MED,PAT
11660,14,45,MED,PAT
11680,15,44,MED,PAT
11680,14,45,MED,PAT
11700,14,45,MED,PAT
11720,15,44,MED,PAT
11720,14,68,MED,PAT
11740,14,68,MED,PAT
11760,15,44,MED,PAT
11760,14,68,MED,PAT
11780,14,15,MED,MED
11780,14,68,MED,PAT
11800,15,44,MED,PAT
11800,14,68,MED,PAT
11820,14,68,MED,PAT
11840,15,44,MED,PAT
11840,14,68,MED,PAT
11860,15,44,MED,PAT
11880,15,44,MED,PAT
11880,14,68,MED,PAT
11900,15,44,MED,PAT
11900,14,68,MED,PAT
11920,15,44,MED,PAT
11920,14,68,MED,PAT
11940,14,68,MED,PAT
11960,14,68,MED,PAT
11980,14,68,MED,PAT
11980,11,16,MED,MED
12000,14,68,MED,PAT
12000,11,16,MED,MED
12020,14,68,MED,PAT
12040,15,44,MED,PAT
12040,11,22,MED,MED
12040,14,68,MED,PAT
12060,15,44,MED,PAT
12060,11,22,MED,MED
12080,11,22,MED,MED
12080,14,68,MED,PAT
12100,11,22,MED,MED
12100,14,68,MED,PAT
12120,14,68,MED,PAT
12140,15,44,MED,PAT
12140,14,68,MED,PAT
12160,14,68,MED,PAT
12180,15,44,MED,PAT
12200,11,22,MED,MED
12200,14,68,MED,PAT
12220,14,68,MED,PAT
12240,14,68,MED,PAT
12260,15,44,MED,PAT
12260,14,68,MED,PAT
12280,15,44,MED,PAT
12280,14,68,MED,PAT
12300,15,44,MED,PAT
12300,14,68,MED,PAT
12320,15,44,MED,PAT
12320,14,68,MED,PAT
12320,11,16,MED,MED
12340,14,68,MED,PAT
12360,11,22,MED,MED
12360,23,24,NUR,NUR
12360,14,68,MED,PAT
12360,16,22,MED,MED
12360,11,16,MED,MED
12380,11,22,MED,MED
12380,14,68,MED,PAT
12380,11,16,MED,MED
12400,14,68,MED,PAT
12400,11,16,MED,MED
12420,14,68,MED,PAT
12420,8,69,NUR,PAT
12420,11,16,MED,MED
12440,14,68,MED,PAT
12440,8,69,NUR,PAT
12440,11,16,MED,MED
12460,19,24,ADM,NUR
12460,14,68,MED,PAT
12480,14,68,MED,PAT
12500,14,68,MED,PAT
12520,11,45,MED,PAT
12520,11,15,MED,MED
12520,14,68,MED,PAT
12540,11,15,MED,MED
12580,15,44,MED,PAT
12580,15,68,MED,PAT
12620,15,44,MED,PAT
12640,14,68,MED,PAT
12660,14,68,MED,PAT
12680,14,68,MED,PAT
12700,15,16,MED,MED
12700,14,68,MED,PAT
12720,15,16,MED,MED
12720,14,68,MED,PAT
12740,15,16,MED,MED
12760,15,16,MED,MED
12760,14,68,MED,PAT
12760,11,18,MED,MED
12780,15,16,MED,MED
12780,14,68,MED,PAT
12800,15,16,MED,MED
12800,14,68,MED,PAT
12840,14,68,MED,PAT
12860,14,68,MED,PAT
12880,21,23,NUR,NUR
12900,14,68,MED,PAT
12920,14,68,MED,PAT
12940,14,68,MED,PAT
13000,21,23,NUR,NUR
13040,11,15,MED,MED
13040,14,68,MED,PAT
13060,14,68,MED,PAT
13080,14,68,MED,PAT
13100,14,68,MED,PAT
13120,14,68,MED,PAT
13140,14,68,MED,PAT
13160,14,68,MED,PAT
13160,11,16,MED,MED
13180,19,23,ADM,NUR
13200,19,23,ADM,NUR
13200,14,68,MED,PAT
13220,19,23,ADM,NUR
13220,14,68,MED,PAT
13240,19,23,ADM,NUR
13240,14,68,MED,PAT
13260,19,23,ADM,NUR
13260,14,68,MED,PAT
13280,19,23,ADM,NUR
13300,15,16,MED,MED
13300,14,45,MED,PAT
13300,19,21,ADM,NUR
13320,14,45,MED,PAT
13340,23,24,NUR,NUR
13360,11,16,MED,MED
13400,23,24,NUR,NUR
13400,19,21,ADM,NUR
13460,19,23,ADM,NUR
13480,19,23,ADM,NUR
13480,8,69,NUR,PAT
13500,19,23,ADM,NUR
13520,19,24,ADM,NUR
13560,19,24,ADM,NUR
13560,8,69,NUR,PAT
13580,19,24,ADM,NUR
13580,19,23,ADM,NUR
13620,19,24,ADM,NUR
13640,1,11,ADM,MED
13640,19,24,ADM,NUR
13660,1,16,ADM,MED
13660,19,23,ADM,NUR
13680,1,11,ADM,MED
13680,19,23,ADM,NUR
13700,19,24,ADM,NUR
13700,19,23,ADM,NUR
13700,11,16,MED,MED
13720,19,23,ADM,NUR
13740,19,23,ADM,NUR
13760,19,23,ADM,NUR
13760,11,16,MED,MED
13780,19,24,ADM,NUR
13780,19,23,ADM,NUR
13780,8,45,NUR,PAT
13800,19,24,ADM,NUR
13800,8,45,NUR,PAT
13820,8,45,NUR,PAT
13840,14,16,MED,MED
13840,19,23,ADM,NUR
13840,8,45,NUR,PAT
13840,16,22,MED,MED
13860,19,23,ADM,NUR
13860,8,45,NUR,PAT
13880,19,23,ADM,NUR
13880,8,45,NUR,PAT
13880,19,21,ADM,NUR
13880,11,16,MED,MED
13900,19,23,ADM,NUR
13900,8,45,NUR,PAT
13900,11,16,MED,MED
13920,14,22,MED,MED
13920,19,23,ADM,NUR
13920,8,45,NUR,PAT
13920,19,21,ADM,NUR
13920,11,16,MED,MED
13940,14,22,MED,MED
13940,19,23,ADM,NUR
13940,19,21,ADM,NUR
13960,14,22,MED,MED
13960,19,23,ADM,NUR
13960,8,45,NUR,PAT
13980,14,22,MED,MED
13980,19,23,ADM,NUR
14000,14,22,MED,MED
14000,19,23,ADM,NUR
14020,19,24,ADM,NUR
14020,14,22,MED,MED
14040,14,22,MED,MED
14060,14,22,MED,MED
14080,14,22,MED,MED
14080,14,16,MED,MED
14080,16,22,MED,MED
14100,14,15,MED,MED
14100,14,22,MED,MED
14100,11,14,MED,MED
14100,16,22,MED,MED
14120,14,15,MED,MED
14120,15,22,MED,MED
14120,14,22,MED,MED
14120,16,22,MED,MED
14140,11,22,MED,MED
14140,14,15,MED,MED
14140,14,22,MED,MED
14140,11,14,MED,MED
14160,11,22,MED,MED
14160,14,15,MED,MED
14160,14,22,MED,MED
14160,11,14,MED,MED
14180,11,22,MED,MED
14180,11,14,MED,MED
14200,11,22,MED,MED
14200,14,15,MED,MED
14200,14,22,MED,MED
14200,11,14,MED,MED
14220,11,22,MED,MED
14220,14,22,MED,MED
14240,11,22,MED,MED
14240,14,15,MED,MED
14240,23,24,NUR,NUR
14240,14,22,MED,MED
14260,11,22,MED,MED
14280,11,22,MED,MED
14280,14,15,MED,MED
14280,14,22,MED,MED
14280,16,22,MED,MED
14300,14,22,MED,MED
14300,16,22,MED,MED
14340,16,22,MED,MED
14360,16,22,MED,MED
14360,11,16,MED,MED
14380,11,14,MED,MED
14380,14,16,MED,MED
14380,19,21,ADM,NUR
14380,11,16,MED,MED
14400,11,22,MED,MED
14400,11,15,MED,MED
14400,21,22,NUR,MED
14400,19,24,ADM,NUR
14400,15,22,MED,MED
14400,11,14,MED,MED
14400,14,16,MED,MED
14400,19,23,ADM,NUR
14400,16,22,MED,MED
14420,11,22,MED,MED
14420,11,15,MED,MED
14420,15,22,MED,MED
14420,14,22,MED,MED
14420,16,22,MED,MED
14440,15,22,MED,MED
14440,16,22,MED,MED
14460,11,22,MED,MED
14460,15,22,MED,MED
14460,16,22,MED,MED
14480,11,22,MED,MED
14480,15,22,MED,MED
14500,11,22,MED,MED
14500,15,22,MED,MED
14500,11,16,MED,MED
14520,11,22,MED,MED
14520,15,22,MED,MED
14520,16,22,MED,MED
14520,11,16,MED,MED
14540,11,22,MED,MED
14540,15,22,MED,MED
14540,16,22,MED,MED
14560,11,15,MED,MED
14560,16,22,MED,MED
14580,11,15,MED,MED
14580,23,24,NUR,NUR
14580,16,22,MED,MED
14600,11,15,MED,MED
14720,11,22,MED,MED
14720,15,22,MED,MED
14720,16,22,MED,MED
14740,11,22,MED,MED
14740,15,22,MED,MED
14760,11,22,MED,MED
14780,11,22,MED,MED
14780,18,22,MED,MED
14800,11,22,MED,MED
14820,11,22,MED,MED
14840,11,22,MED,MED
14860,11,22,MED,MED
14880,11,22,MED,MED
14880,18,22,MED,MED
14900,11,22,MED,MED
14900,18,22,MED,MED
14920,18,22,MED,MED
14940,11,19,MED,ADM
14940,18,22,MED,MED
14960,18,22,MED,MED
14960,16,22,MED,MED
14980,16,22,MED,MED
15000,16,22,MED,MED
15020,16,18,MED,MED
15080,23,24,NUR,NUR
15180,1,24,ADM,NUR
15220,1,23,ADM,NUR
15220,23,24,NUR,NUR
15220,1,36,ADM,NUR
15240,1,23,ADM,NUR
15240,23,24,NUR,NUR
15260,1,24,ADM,NUR
15520,1,23,ADM,NUR
15560,1,23,ADM,NUR
15680,8,48,NUR,PAT
15720,11,15,MED,MED
15760,11,15,MED,MED
15780,15,16,MED,MED
15820,8,48,NUR,PAT
15940,15,16,MED,MED
15960,15,22,MED,MED
15980,15,22,MED,MED
16000,15,16,MED,MED
16000,15,22,MED,MED
16020,22,23,MED,NUR
16020,16,22,MED,MED
16040,15,22,MED,MED
16040,16,22,MED,MED
16060,15,16,MED,MED
16060,15,22,MED,MED
16060,16,22,MED,MED
16080,16,22,MED,MED
16100,16,22,MED,MED
16120,16,22,MED,MED
16140,16,22,MED,MED
16160,21,24,NUR,NUR
16160,16,22,MED,MED
16180,16,22,MED,MED
16200,16,22,MED,MED
16220,19,36,ADM,NUR
16220,16,22,MED,MED
16240,24,69,NUR,PAT
16240,16,22,MED,MED
16260,21,24,NUR,NUR
16260,16,22,MED,MED
16280,24,69,NUR,PAT
16280,16,22,MED,MED
16300,21,24,NUR,NUR
16300,16,22,MED,MED
16320,16,22,MED,MED
16340,24,69,NUR,PAT
16340,21,24,NUR,NUR
16340,8,48,NUR,PAT
16340,19,23,ADM,NUR
16340,16,22,MED,MED
16360,24,69,NUR,PAT
16360,1,19,ADM,ADM
16360,16,22,MED,MED
16380,21,69,NUR,PAT
16380,16,22,MED,MED
16400,21,23,NUR,NUR
16400,16,22,MED,MED
16420,23,24,NUR,NUR
16420,16,22,MED,MED
16440,16,22,MED,MED
16460,23,38,NUR,PAT
16460,21,23,NUR,NUR
16460,16,22,MED,MED
16480,23,38,NUR,PAT
16480,15,19,MED,ADM
16480,16,19,MED,ADM
16480,1,8,ADM,NUR
16500,15,22,MED,MED
16500,21,23,NUR,NUR
16500,16,22,MED,MED
16520,21,24,NUR,NUR
16520,21,23,NUR,NUR
16520,16,22,MED,MED
16540,21,24,NUR,NUR
16540,21,23,NUR,NUR
16540,24,38,NUR,PAT
16540,16,22,MED,MED
16560,21,24,NUR,NUR
16560,21,23,NUR,NUR
16560,16,22,MED,MED
16580,21,24,NUR,NUR
16580,19,36,ADM,NUR
16580,21,23,NUR,NUR
16600,1,16,ADM,MED
16600,11,45,MED,PAT
16600,21,24,NUR,NUR
16600,24,38,NUR,PAT
16620,1,16,ADM,MED
16620,21,24,NUR,NUR
16640,21,24,NUR,NUR
16640,1,11,ADM,MED
16640,21,38,NUR,PAT
16640,21,23,NUR,NUR
16640,24,38,NUR,PAT
16660,1,11,ADM,MED
16660,21,38,NUR,PAT
16680,23,24,NUR,NUR
16680,1,11,ADM,MED
16700,1,11,ADM,MED
16720,16,22,MED,MED
16740,23,42,NUR,PAT
16740,23,24,NUR,NUR
16740,21,23,NUR,NUR
16740,16,22,MED,MED
16760,11,15,MED,MED
16760,19,69,ADM,PAT
16760,16,22,MED,MED
16780,11,15,MED,MED
16780,23,24,NUR,NUR
16780,19,69,ADM,PAT
16780,16,22,MED,MED
16800,11,15,MED,MED
16800,16,22,MED,MED
16820,11,22,MED,MED
16820,11,15,MED,MED
16820,23,24,NUR,NUR
